[main.py] | DEBUG - 6 | 2024/02/27 03:44:14 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/02/27 03:44:29 | Message: Fin del juego
[clases.py] | DEBUG - 53 | 2024/03/02 01:57:05 | Message: Error: invalid literal for int() with base 10: 'q'
[main.py] | DEBUG - 6 | 2024/03/02 02:21:23 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:21:45 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:23:05 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:23:49 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:24:34 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:25:13 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:26:46 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:27:05 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:27:33 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:28:07 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:28:30 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:28:45 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:29:34 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:29:49 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:29:58 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:30:12 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:31:28 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:31:40 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:35:47 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:36:11 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:39:00 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:39:20 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:40:45 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:41:11 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:45:36 | Message: Inicio del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:46:11 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:46:19 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:46:23 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:46:53 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:47:21 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:47:46 | Message: Fin del juego
[clases.py] | DEBUG - 50 | 2024/03/02 02:49:35 | Message: Error: invalid literal for int() with base 10: 'e'
[clases.py] | DEBUG - 50 | 2024/03/02 02:49:38 | Message: Error: invalid literal for int() with base 10: 'a'
[main.py] | DEBUG - 6 | 2024/03/02 02:49:41 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:49:58 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:50:18 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:50:37 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:50:59 | Message: Inicio del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:53:13 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:53:43 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:54:23 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:54:42 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:56:11 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:56:44 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:57:01 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:57:17 | Message: Fin del juego
[main.py] | DEBUG - 6 | 2024/03/02 02:57:24 | Message: Inicio del juego
[main.py] | DEBUG - 10 | 2024/03/02 02:57:34 | Message: Fin del juego
